R_max,Roff_max,W_max,S_max,tau_Roff,tau_R,tau_W,tau_S,alpha_Roff,alpha_R,alpha_W,beta_R,beta_W,alpha_S,gamma_R,gamma_Roff,gamma_W,gamma_S,k1_Roff,k2_Roff,k1_S,k2_S,stp_max,stp_min,stp_r,tau_stpW,h_max,h_min,omega_max,omega_min,theta_R,theta_W,tau_stpup,tau_stpdown,tau_hup,tau_hdown,tau_omega,tau_stim,g_Roff2R,g_R2Roff,g_S2W,g_W2S,g_W2R,g_R2W,g_W2Roff,g_Roff2W,g_Roff2S,tau_CR,tau_CRf,tau_CRoff,tau_CW,tau_CS,delta_update,Score
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-9.63888888888889,-5.694444444444445,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,8.718107536954895
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-7.972222222222222,-5.416666666666666,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,8.426150958225705
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-7.416666666666667,-5.416666666666666,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,7.342253598327124
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-7.138888888888889,-5.416666666666666,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,10.320548757102966
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-6.861111111111112,-5.694444444444445,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,10.193292199502242
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-6.583333333333334,-5.416666666666666,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,8.815935870643262
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-9.083333333333334,-5.138888888888889,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,6.78821088605539
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-8.38888888888889,-5.277777777777778,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,6.691482299643762
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-8.805555555555555,-4.583333333333333,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,5.629516858347904
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1000.0,1000.0,600.0,2000.0,20.0,5.0,-9.36111111111111,-4.861111111111111,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3,10.339131152845157
