R_max,Roff_max,W_max,S_max,tau_Roff,tau_R,tau_W,tau_S,alpha_Roff,alpha_R,alpha_W,beta_R,beta_W,alpha_S,gamma_R,gamma_Roff,gamma_W,gamma_S,k1_Roff,k2_Roff,k1_S,k2_S,stp_max,stp_min,stp_r,tau_stpW,h_max,h_min,omega_max,omega_min,theta_R,theta_W,tau_stpup,tau_stpdown,tau_hup,tau_hdown,tau_omega,tau_stim,g_Roff2R,g_R2Roff,g_S2W,g_W2S,g_W2R,g_R2W,g_W2Roff,g_Roff2W,g_Roff2S,tau_CR,tau_CRf,tau_CRoff,tau_CW,tau_CS,delta_update,Score
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1638.888888888889,1583.3333333333335,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,6.979051948095502
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1750.0,1694.4444444444443,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,6.943146865989607
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1777.7777777777778,1777.7777777777778,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,5.972691808605925
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1694.4444444444446,1527.7777777777778,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,8.253112104752713
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1694.4444444444446,1750.0,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,7.848313495976395
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1555.5555555555557,1555.5555555555557,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,7.356179193744881
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1638.888888888889,1472.2222222222222,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,8.682341923906172
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1305.5555555555557,1305.5555555555557,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,8.372023500112022
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1388.888888888889,1277.7777777777778,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,6.25159189431902
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,1.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,1000.0,0.8,0.0,0.1,0.0,1.5,1.5,1700,1700,600.0,2000.0,20.0,5.0,-7.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1.0,10.0,10.0,10.0,3.0,11.667471876091941
